dataset_code,dataset_name,project_code,project_name,profile_id,profile_depth_id,monitoring_location_name,date,time_sample,depth_m,depth_bin_m,temp_c,oxygen_mg_l1,oxygen_saturation_pct,cond_us_cm1,cond_spec_us_cm1,chla_ug_l1,gear_type_code,gear_type_desc,optode,method_sample_code,method_sample_desc,qa_level,collected_by,researcher_code,researcher_name,qualifiers,comments,update_date,account,version
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 3.263 m],114 LA CB,2023-05-30,7:49:46,3.263,3.25,19.06,8.33,,12.71,14,12,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 3.505 m],114 LA CB,2023-05-30,7:50:31,3.505,3.5,17.71,8.16,,12.59,15,13,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 3.999 m],114 LA CB,2023-05-30,7:52:21,3.999,4,16.31,7.358,,12.58,15,14,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-05-30],[114 LA CB] [2023-05-30] [Depth: 4.244 m],114 LA CB,2023-05-30,7:56:31,4.244,4.25,15.45,5.733,,13.12,16,18,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 0.001 m],114 LA CB,2023-06-13,7:03:17,0.001,0,22.4,9,,24.29,26,7,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 0.51 m],114 LA CB,2023-06-13,7:04:05,0.51,0.5,22.39,8.95,,14.76,16,8,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 1.009 m],114 LA CB,2023-06-13,7:04:46,1.009,1,22.33,8.92,,15.11,16,9,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 2.006 m],114 LA CB,2023-06-13,7:05:56,2.006,2,21.95,8.74,,14.1,15,12,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 3.054 m],114 LA CB,2023-06-13,7:06:38,3.054,3,21.6,8.61,,13.76,15,16,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 3.268 m],114 LA CB,2023-06-13,7:08:49,3.268,3.25,21.17,7.889,,13.19,14,20,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 3.513 m],114 LA CB,2023-06-13,7:09:26,3.513,3.5,21.15,7.977,,13.63,15,22,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 3.761 m],114 LA CB,2023-06-13,7:10:25,3.761,3.75,20.96,7.812,,13.37,14,26,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 4.027 m],114 LA CB,2023-06-13,7:11:31,4.027,4,20.58,6.416,,14.47,16,28,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 4.245 m],114 LA CB,2023-06-13,7:12:51,4.245,4.25,20.23,5.31,,14.53,16,30,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-13],[114 LA CB] [2023-06-13] [Depth: 4.511 m],114 LA CB,2023-06-13,7:13:48,4.511,4.5,19.85,4.468,,17.19,19,27,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-27],[114 LA CB] [2023-06-27] [Depth: 0.002 m],114 LA CB,2023-06-27,8:21:55,0.002,0,22.15,8.7,,13.47,14,9,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-27],[114 LA CB] [2023-06-27] [Depth: 0.519 m],114 LA CB,2023-06-27,8:22:43,0.519,0.5,22.28,8.64,,11.99,13,11,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-27],[114 LA CB] [2023-06-27] [Depth: 0.998 m],114 LA CB,2023-06-27,8:23:30,0.998,1,22.29,8.62,,11.92,13,11,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-27],[114 LA CB] [2023-06-27] [Depth: 2.006 m],114 LA CB,2023-06-27,8:24:20,2.006,2,22.11,8.62,,11.79,12,14,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
GC0,"Water profiles for limnological parameters (temperature, oxygen, and other)",XX01,MULTIPLE PROJECTS OR UNIMPORTANT WHICH PROJECT,[114 LA CB] [2023-06-27],[114 LA CB] [2023-06-27] [Depth: 2.243 m],114 LA CB,2023-06-27,8:26:23,2.243,2.25,21.73,8.24,,11.71,12,15,RBR2,RBR #2 XRX620 Serial No 18033,138,LP3,Limnology profile sampling via multiparameter probe (not just temp and oxygen),LVL1,hydrolim crew,1004,Ken A Sandilands,,,2025-02-26,chay,1
