date,sample_id,station,type,target_depth,Fe2+ (mg/L),notes
2024-07-03,L303_2.4_0.5_R2,,0.5,0.5,0.025,
2024-07-03,L303_2.4_SWI_R1,,SWI,,-0.05,
2024-07-03,L303_2.4_SWI_R2,,SWI,,NA,
2024-07-03,L303_2.5_0.5_R1,,0.5,0.5,NA,
2024-07-03,L303_2.5_0.5_R2,,0.5,0.5,0.055,
2024-07-03,L303_2.5_SWI_R1,,SWI,,-0.047,
2024-07-03,L303_2.5_SWI_R2,,SWI,,NA,
2024-07-03,L303_2.6_0.5_R1,,0.5,0.5,0.181,
2024-07-03,L303_2.6_0.5_R2,,0.5,0.5,0.088,
2024-07-03,L303_2.6_SWI_R1,,SWI,,-0.047,
2024-07-03,L303_2.6_SWI_R2,,SWI,,-0.041,
2024-07-03,L303_2.7_0.5_R1,,0.5,0.5,0.034,
2024-07-03,L303_2.7_0.5_R2,,0.5,0.5,0.004,
2024-07-03,L303_2.7_SWI_R1,,SWI,,-0.029,
2024-07-03,L303_2.7_SWI_R2,,SWI,,-0.002,
2024-07-08,L303_1.1_0.5_R1,,0.5,0.5,0.022,
2024-07-08,L303_1.1_0.5_R2,,0.5,0.5,0.013,
2024-07-08,L303_1.1_SWI_R1,,SWI,,0.034,
2024-07-08,L303_1.1_SWI_R2,,SWI,,0.007,
2024-07-08,L303_1.2_0.5_R1,,0.5,0.5,0.019,
2024-07-08,L303_1.2_0.5_R2,,0.5,0.5,0.058,
2024-07-08,L303_1.2_SWI_R1,,SWI,,0.016,
2024-07-08,L303_1.2_SWI_R2,,SWI,,0.065,
2024-07-08,L303_1.3_0.5_R1,,0.5,0.5,0.055,
2024-07-08,L303_1.3_0.5_R2,,0.5,0.5,0.052,
2024-07-08,L303_1.3_SWI_R1,,SWI,,0.104,
2024-07-08,L303_1.3_SWI_R2,,SWI,,0.083,
2024-07-08,L303_1.4_0.5_R1,,0.5,0.5,0.132,
2024-07-08,L303_1.4_0.5_R2,,0.5,0.5,0.107,
2024-07-08,L303_1.4_SWI_R1,,SWI,,0.119,
